
RESET

0.08
0.10
0.10
0.10
0.11
0.11
0.11
0.11
0.11
0.11
0.11
0.11
0.11
0.11
0.11
0.12
0.12
0.12
0.12
0.12
0.12
1.40
Make sure tee is running
========================================================
Please move to cuvette 0
0.00,0.0087578,0.1026875,5,5,0.06,31.04,0,3.00,979199
0.20,0.0106016,0.0972266,5,5,0.07,31.04,0,3.00,979214
0.40,0.0142813,0.0920078,5,5,0.07,31.04,0,3.00,979228
0.60,0.0211875,0.0915000,5,5,0.07,31.04,0,3.00,979242
0.80,0.0322969,0.0980469,5,5,0.07,31.04,0,3.00,979257
1.00,0.0463828,0.1105391,5,5,0.07,31.04,0,3.00,979271
1.20,0.0614063,0.1288906,5,5,0.07,31.04,0,3.00,979286
1.40,0.0749609,0.1359766,5,5,0.07,31.04,0,3.00,979300
1.60,0.0878672,0.1300781,5,5,0.07,31.04,0,3.00,979315
1.80,0.1001953,0.1231797,5,5,0.07,31.04,0,3.00,979329
2.00,0.1095547,0.1189531,5,5,0.07,31.04,0,3.00,979343
2.20,0.1153750,0.1131484,5,5,0.07,31.04,0,3.00,979358
2.40,0.1205391,0.1014219,5,5,0.08,31.04,0,3.00,979372
2.60,0.1241484,0.0901953,5,5,0.08,31.04,0,3.00,979387
2.80,0.1252891,0.0798594,5,5,0.08,31.04,0,3.00,979401
3.00,0.1204922,0.0641406,5,5,0.08,31.04,0,3.00,979416
3.20,0.1119766,0.0456016,5,5,0.08,31.04,0,3.00,979430
3.40,0.1011250,0.0255000,5,5,0.08,31.04,0,3.00,979445
3.60,0.0953672,0.0116328,5,5,0.08,31.04,0,3.00,979459
3.80,0.0922266,0.0053125,5,5,0.08,31.04,0,3.00,979473
4.00,0.0937344,0.0023281,5,5,0.08,31.04,0,3.00,979488
4.20,0.1001406,0.0019453,5,5,0.08,31.04,0,3.00,979502
4.40,0.1107969,0.0028672,5,5,0.08,31.04,0,3.00,979517
4.60,0.1261484,0.0048750,5,5,0.08,31.04,0,3.00,979531
4.80,0.1442031,0.0083125,5,5,0.08,31.04,0,3.00,979546
5.00,0.1571563,0.0109688,5,5,0.08,31.04,0,3.00,979560
5.20,0.1623750,0.0118516,5,5,0.07,31.04,0,3.00,979574
5.40,0.1619453,0.0114453,5,5,0.07,31.04,0,3.00,979589
5.60,0.1559141,0.0100859,5,5,0.07,31.04,0,3.00,979603
5.80,0.1468750,0.0088594,5,5,0.07,31.04,0,3.00,979618
6.00,0.1369219,0.0074297,5,5,0.07,31.04,0,3.00,979632
6.20,0.1279375,0.0065781,5,5,0.07,31.04,0,3.00,979647
6.40,0.1217734,0.0060781,5,5,0.07,31.04,0,3.00,979661
