"objects","ports","Emag","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
16.697,0,0.1284,1,0.0053784,-0.1076,0.071808,0.16066
16.697,0,0.1284,1,0.0054465,-0.10767,0.071806,0.16066
16.697,0,0.1284,1,0.0055145,-0.10773,0.071803,0.16066
16.697,0,0.1284,1,0.0055826,-0.1078,0.071801,0.16065
16.697,0,0.1284,1,0.0056507,-0.10787,0.071798,0.16065
16.697,0,0.1284,1,0.0057188,-0.10794,0.071796,0.16065
16.697,0,0.10301,1,0.0057869,-0.10801,0.071793,0.16065
16.697,0,0.10301,1,0.0058549,-0.10807,0.07179,0.16065
16.697,0,0.10301,1,0.005923,-0.10814,0.071788,0.16065
16.697,0,0.10301,1,0.0059911,-0.10821,0.071785,0.16065
16.697,0,0.10301,1,0.0060592,-0.10828,0.071783,0.16064
16.697,0,0.10301,1,0.0061273,-0.10835,0.07178,0.16064
16.697,0,0.10301,1,0.0061953,-0.10841,0.071778,0.16064
16.697,0,0.10301,1,0.0062634,-0.10848,0.071775,0.16064
16.697,0,0.10301,1,0.0063315,-0.10855,0.071773,0.16064
16.697,0,0.10301,1,0.0063996,-0.10862,0.07177,0.16064
16.697,0,0.10301,1,0.0064677,-0.10869,0.071768,0.16063
16.697,0,0.10301,1,0.0065357,-0.10875,0.071765,0.16063
16.697,0,0.10301,1,0.0066038,-0.10882,0.071763,0.16063
16.697,0,0.10301,1,0.0066719,-0.10889,0.07176,0.16063
16.697,0,0.10301,1,0.00674,-0.10896,0.071757,0.16063
16.697,0,0.10301,1,0.0068081,-0.10903,0.071755,0.16063
16.697,0,0.10301,1,0.0068761,-0.10909,0.071752,0.16062
16.697,0,0.10301,1,0.0069442,-0.10916,0.07175,0.16062
16.697,0,0.10301,1,0.0070123,-0.10923,0.071747,0.16062
16.697,0,0.10301,1,0.0070804,-0.1093,0.071745,0.16062
16.697,0,0.10301,1,0.0071485,-0.10937,0.071742,0.16062
16.697,0,0.10301,1,0.0072166,-0.10943,0.07174,0.16062
16.697,0,0.10301,1,0.0072846,-0.1095,0.071737,0.16061
16.697,0,0.10301,1,0.0073527,-0.10957,0.071735,0.16061
16.697,0,0.10301,1,0.0074208,-0.10964,0.071732,0.16061
16.697,0,0.10301,1,0.0074889,-0.10971,0.071729,0.16061
16.697,0,0.10301,1,0.007557,-0.10977,0.071727,0.16061
16.697,0,0.10301,1,0.007625,-0.10984,0.071724,0.16061
16.697,0,0.10301,1,0.0076931,-0.10991,0.071722,0.1606
16.697,0,0.10301,1,0.0077612,-0.10998,0.071719,0.1606
16.697,0,0.068911,1,0.0078293,-0.11005,0.071717,0.1606
16.697,0,0.068911,1,0.0078974,-0.11011,0.071714,0.1606
16.697,0,0.068911,1,0.0079654,-0.11018,0.071712,0.1606
16.697,0,0.068911,1,0.0080335,-0.11025,0.071709,0.1606
16.697,0,0.068911,1,0.0081016,-0.11032,0.071707,0.1606
16.697,0,0.068911,1,0.0081697,-0.11039,0.071704,0.16059
16.697,0,0.068911,1,0.0082378,-0.11045,0.071701,0.16059
16.697,0,0.068911,1,0.0083058,-0.11052,0.071699,0.16059
16.697,0,0.068911,1,0.0083739,-0.11059,0.071696,0.16059
16.697,0,0.068911,1,0.008442,-0.11066,0.071694,0.16059
16.697,0,0.068911,1,0.0085101,-0.11073,0.071691,0.16059
16.697,0,0.068911,1,0.0085782,-0.11079,0.071689,0.16058
16.697,0,0.068911,1,0.0086463,-0.11086,0.071686,0.16058
16.697,0,0.068911,1,0.0087143,-0.11093,0.071684,0.16058
16.697,0,0.068911,1,0.0087824,-0.111,0.071681,0.16058
16.697,0,0.068911,1,0.0088505,-0.11107,0.071679,0.16058
16.697,0,0.068911,1,0.0089186,-0.11113,0.071676,0.16058
16.697,0,0.068911,1,0.0089867,-0.1112,0.071674,0.16057
16.697,0,0.068911,1,0.0090547,-0.11127,0.071671,0.16057
16.697,0,0.068911,1,0.0091228,-0.11134,0.071668,0.16057
16.697,0,0.068911,1,0.0091909,-0.11141,0.071666,0.16057
16.697,0,0.068911,1,0.009259,-0.11147,0.071663,0.16057
16.697,0,0.068911,1,0.0093271,-0.11154,0.071661,0.16057
16.697,0,0.068911,1,0.0093951,-0.11161,0.071658,0.16056
16.697,0,0.068911,1,0.0094632,-0.11168,0.071656,0.16056
16.697,0,0.068911,1,0.0095313,-0.11175,0.071653,0.16056
16.697,0,0.068911,1,0.0095994,-0.11181,0.071651,0.16056
16.697,0,0.068911,1,0.0096675,-0.11188,0.071648,0.16056
16.697,0,0.068911,1,0.0097355,-0.11195,0.071646,0.16056
16.697,0,0.048187,1,0.0098036,-0.11202,0.071643,0.16055
16.697,0,0.048187,1,0.0098717,-0.11209,0.07164,0.16055
16.697,0,0.048187,1,0.0099398,-0.11215,0.071638,0.16055
16.697,0,0.048187,1,0.010008,-0.11222,0.071635,0.16055
16.697,0,0.048187,1,0.010076,-0.11229,0.071633,0.16055
16.697,0,0.048187,1,0.010144,-0.11236,0.07163,0.16055
16.697,0,0.048187,1,0.010212,-0.11243,0.071628,0.16055
16.697,0,0.048187,1,0.01028,-0.11249,0.071625,0.16054
16.697,0,0.048187,1,0.010348,-0.11256,0.071623,0.16054
16.697,0,0.048187,1,0.010416,-0.11263,0.07162,0.16054
16.697,0,0.048187,1,0.010484,-0.1127,0.071618,0.16054
16.697,0,0.048187,1,0.010553,-0.11277,0.071615,0.16054
16.697,0,0.048187,1,0.010621,-0.11283,0.071613,0.16054
16.697,0,0.048187,1,0.010689,-0.1129,0.07161,0.16053
16.697,0,0.048187,1,0.010757,-0.11297,0.071607,0.16053
16.697,0,0.048187,1,0.010825,-0.11304,0.071605,0.16053
16.697,0,0.048187,1,0.010893,-0.11311,0.071602,0.16053
16.697,0,0.048187,1,0.010961,-0.11317,0.0716,0.16053
16.697,0,0.048187,1,0.011029,-0.11324,0.071597,0.16053
16.697,0,0.048187,1,0.011097,-0.11331,0.071595,0.16052
16.697,0,0.048187,1,0.011165,-0.11338,0.071592,0.16052
16.697,0,0.048187,1,0.011233,-0.11345,0.07159,0.16052
16.697,0,0.048187,1,0.011301,-0.11351,0.071587,0.16052
16.697,0,0.048187,1,0.011369,-0.11358,0.071585,0.16052
16.697,0,0.048187,1,0.011438,-0.11365,0.071582,0.16052
16.697,0,0.048187,1,0.011506,-0.11372,0.071579,0.16051
16.697,0,0.048187,1,0.011574,-0.11379,0.071577,0.16051
16.697,0,0.048187,1,0.011642,-0.11385,0.071574,0.16051
16.697,0,0.048187,1,0.01171,-0.11392,0.071572,0.16051
16.697,0,0.048187,1,0.011778,-0.11399,0.071569,0.16051
16.697,0,0.058153,1,0.011846,-0.11406,0.071567,0.16051
16.697,0,0.058153,1,0.011914,-0.11413,0.071564,0.1605
16.697,0,0.058153,1,0.011982,-0.11419,0.071562,0.1605
16.697,0,0.058153,1,0.01205,-0.11426,0.071559,0.1605
16.697,0,0.058153,1,0.012118,-0.11433,0.071557,0.1605
16.697,0,0.058153,1,0.012186,-0.1144,0.071554,0.1605
16.697,0,0.058153,1,0.012255,-0.11447,0.071552,0.1605
16.697,0,0.058153,1,0.012323,-0.11453,0.071549,0.1605
16.697,0,0.058153,1,0.012391,-0.1146,0.071546,0.16049
16.697,0,0.058153,1,0.012459,-0.11467,0.071544,0.16049
16.697,0,0.058153,1,0.012527,-0.11474,0.071541,0.16049
16.697,0,0.058153,1,0.012595,-0.11481,0.071539,0.16049
16.697,0,0.058153,1,0.012663,-0.11488,0.071536,0.16049
16.697,0,0.058153,1,0.012731,-0.11494,0.071534,0.16049
16.697,0,0.058153,1,0.012799,-0.11501,0.071531,0.16048
16.697,0,0.058153,1,0.012867,-0.11508,0.071529,0.16048
16.697,0,0.058153,1,0.012935,-0.11515,0.071526,0.16048
16.697,0,0.058153,1,0.013003,-0.11522,0.071524,0.16048
16.697,0,0.058153,1,0.013071,-0.11528,0.071521,0.16048
16.697,0,0.058153,1,0.01314,-0.11535,0.071518,0.16048
16.697,0,0.058153,1,0.013208,-0.11542,0.071516,0.16047
16.697,0,0.058153,1,0.013276,-0.11549,0.071513,0.16047
16.697,0,0.058153,1,0.013344,-0.11556,0.071511,0.16047
16.697,0,0.058153,1,0.013412,-0.11562,0.071508,0.16047
16.697,0,0.058153,1,0.01348,-0.11569,0.071506,0.16047
16.697,0,0.058153,1,0.013548,-0.11576,0.071503,0.16047
16.697,0,0.058153,1,0.013616,-0.11583,0.071501,0.16046
16.697,0,0.058153,1,0.013684,-0.1159,0.071498,0.16046
16.697,0,0.058153,1,0.013752,-0.11596,0.071496,0.16046
16.697,0,0.062322,1,0.01382,-0.11603,0.071493,0.16046
16.697,0,0.062322,1,0.013888,-0.1161,0.071491,0.16046
