0,7469,386,277,23905
0,8109,440,299,24181
0,7596,494,375,23726
0,7393,548,393,23620
0,7905,623,393,23951
1,7139,176,133,23280
1,7230,222,172,23546
1,7160,244,225,23525
1,7474,315,244,23567
1,7173,375,263,23342
2,6181,530,419,23458
2,6007,588,436,23376
2,6400,675,528,23574
2,6585,706,552,23794
2,6456,749,502,23526
3,5836,0,12,23088
3,5612,48,53,22982
3,5426,118,70,22669
3,5700,164,131,22949
3,5481,188,177,22987
4,5909,317,235,23230
4,6018,352,237,23289
4,5823,372,293,23198
4,5956,440,322,23298
4,5784,470,375,22941
5,6079,1055,833,23561
5,6208,0,13,23573
5,5700,45,48,23376
5,6309,96,66,23987
5,5579,122,95,23469
6,6439,1200,830,23737
6,6851,22,19,24051
6,6791,68,66,23950
6,6919,120,76,24098
6,7032,193,105,23900
7,5930,1021,842,23244
7,5912,1128,846,23290
7,5911,28,20,23390
7,5493,66,60,22888
7,5621,97,74,23451
