0,13879,1422,53371,46800,13951.6567117
0,13790,1153,53466,46823,13838.1179717
0,13920,1051,53599,46843,13959.6203745
0,13443,1311,53388,46991,13506.7749667
0,14379,1166,54143,47218,14426.1982865
1,12613,1641,52199,46367,12719.3022607
1,12695,1436,52634,46637,12775.9587116
1,12081,1199,52360,46575,12140.3526308
1,12606,1112,52443,46356,12654.9508099
1,12507,1898,52440,46819,12650.1957692
2,14232,1460,54167,47438,14306.6915812
2,14655,1704,54482,47695,14753.7331208
2,14615,1382,54556,47615,14680.1958093
2,14339,1242,54583,47692,14392.6885953
2,14858,1315,54924,47831,14916.0782044
3,20651,1891,60399,50718,20737.3981492
3,20558,2491,60379,50992,20708.3665459
3,20709,1440,60782,50799,20759.0048172
3,20547,1740,60315,50587,20620.5433731
3,19984,1358,60309,50665,20030.087868
4,11649,2026,51498,46354,11823.8689523
4,12105,871,51856,45909,12136.2953985
4,11498,1616,51651,46368,11611.0059857
4,11667,1644,51995,46664,11782.2589091
4,11657,1110,51899,46282,11709.7288184
5,11075,1538,51115,46001,11181.2820821
5,11237,1325,50995,45735,11314.8483861
5,11305,1330,50766,45448,11382.9664411
5,11741,1593,51576,46175,11848.5750198
5,11778,1050,51342,45665,11824.7107364
6,24426,2051,65056,53537,24511.9578369
6,23942,1955,64884,53560,24021.6858068
6,23574,1900,64534,53367,23650.4434631
6,24547,2063,65540,53954,24633.5376672
6,24347,2159,65003,53563,24442.5385343
7,11103,1614,51270,46190,11219.6971884
7,11521,1378,51826,46421,11603.1170381
7,11671,1300,51988,46481,11743.178488
7,12411,1131,52620,46656,12462.4268102
7,12212,1259,52630,46829,12276.7269661
